,county,date,ML,Low_90,High_90,Low_50,High_50,fips,county_seat,population,cases,deaths,mortality_rate,cases_rate_per_population
447,Alachua,2021-06-09,0.71,0.25,1.2,0.53,0.92,12001,Gainesville,249365,25515,285.0,0.0112,0.1023
807,Bradford,2021-06-09,0.84,0.07,1.54,0.52,1.18,12007,Starke,28255,3051,58.0,0.019,0.108
1249,Brevard,2021-06-09,0.55,0.16,0.98,0.41,0.75,12009,Titusville,543566,43052,914.0,0.0212,0.0792
1704,Broward,2021-06-09,0.24,0.01,0.53,0.1,0.34,12011,Fort Lauderdale,1780172,245303,3079.0,0.0126,0.1378
2143,Charlotte,2021-06-09,0.73,0.24,1.23,0.55,0.96,12015,Punta Gorda,160511,13437,437.0,0.0325,0.0837
2586,Clay,2021-06-09,0.72,0.25,1.21,0.56,0.96,12019,Green Cove Springs,192370,19297,352.0,0.0182,0.1003
3035,Collier,2021-06-09,0.6,0.19,1.03,0.46,0.81,12021,East Naples,328134,37184,551.0,0.0148,0.1133
3467,Columbia,2021-06-09,0.8200000000000001,0.19,1.46,0.5700000000000001,1.1,12023,Lake City,67485,8278,170.0,0.0205,0.1227
3877,DeSoto,2021-06-09,0.84,0.17,1.49,0.61,1.17,12027,Arcadia,34894,4438,97.0,0.0219,0.1272
4327,Duval,2021-06-09,0.48,0.14,0.85,0.37,0.67,12031,Jacksonville,937934,100985,1483.0,0.0147,0.1077
4770,Escambia,2021-06-09,0.71,0.24,1.24,0.52,0.93,12033,Pensacola,299114,36650,706.0,0.0193,0.1225
5198,Hendry,2021-06-09,0.84,0.21,1.51,0.59,1.13,12051,LaBelle,39089,4873,87.0,0.0179,0.1247
5637,Highlands,2021-06-09,0.77,0.22,1.36,0.54,1.01,12055,Sebring,98630,8781,366.0,0.0417,0.089
6086,Hillsborough,2021-06-09,0.27,0.0,0.53,0.18,0.43,12057,Tampa,1267775,143624,1832.0,0.0128,0.1133
6489,Jackson,2021-06-09,0.84,0.15,1.49,0.5700000000000001,1.14,12063,Marianna,49292,6327,158.0,0.025,0.1284
6932,Lake,2021-06-09,0.6,0.2,1.04,0.46,0.81,12069,Tavares,301019,31113,663.0,0.0213,0.1034
7381,Lee,2021-06-09,0.42,0.06,0.76,0.3,0.61,12071,Fort Myers,631330,73776,1009.0,0.0137,0.1169
7822,Leon,2021-06-09,0.67,0.22,1.14,0.5,0.88,12073,Tallahassee,277971,32851,332.0,0.0101,0.1182
8269,Manatee,2021-06-09,0.58,0.16,1.0,0.43,0.78,12081,Bradenton,327142,39965,689.0,0.0172,0.1222
8708,Marion,2021-06-09,0.66,0.22,1.14,0.5,0.88,12083,Ocala,332529,31971,996.0,0.0312,0.0961
9160,Miami-Dade,2021-06-09,0.07,0.0,0.33,0.02,0.15,12086,Miami,2662874,501925,6472.0,0.0129,0.1885
9527,Nassau,2021-06-09,0.8,0.26,1.4,0.6,1.07,12089,Fernandina Beach,74195,8663,127.0,0.0147,0.1168
9972,Okaloosa,2021-06-09,0.75,0.23,1.3,0.54,0.98,12091,Crestview,183482,20909,367.0,0.0176,0.114
10379,Okeechobee,2021-06-09,0.84,0.21,1.47,0.64,1.17,12093,Okeechobee,40140,4187,89.0,0.0213,0.1043
10828,Orange,2021-06-09,0.32,0.03,0.62,0.22,0.49,12095,Orlando,1169107,143197,1309.0,0.0091,0.1225
11276,Osceola,2021-06-09,0.55,0.17,0.97,0.4,0.73,12097,Kissimmee,276163,46310,529.0,0.0114,0.1677
11726,Palm Beach,2021-06-09,0.36,0.05,0.6900000000000001,0.24,0.52,12099,West Palm Beach,1335187,148811,2883.0,0.0194,0.1115
12171,Pasco,2021-06-09,0.54,0.13,0.94,0.39,0.73,12101,Dade City,466457,42933,802.0,0.0187,0.092
12620,Pinellas,2021-06-09,0.49,0.1,0.87,0.36,0.6900000000000001,12103,Clearwater,917398,81533,1671.0,0.0205,0.0889
13066,Polk,2021-06-09,0.46,0.11,0.84,0.34,0.65,12105,Bartow,609492,71255,1387.0,0.0195,0.1169
13507,Santa Rosa,2021-06-09,0.77,0.25,1.34,0.58,1.03,12113,Milton,154104,18579,291.0,0.0157,0.1206
13953,Sarasota,2021-06-09,0.61,0.19,1.08,0.46,0.8300000000000001,12115,Sarasota,382213,33745,844.0,0.025,0.0883
14401,Seminole,2021-06-09,0.58,0.17,1.0,0.45,0.8,12117,Sanford,425071,35427,516.0,0.0146,0.0833
14846,St. Johns,2021-06-09,0.7000000000000001,0.24,1.19,0.52,0.91,12109,St. Augustine,195823,23319,221.0,0.0095,0.1191
15287,St. Lucie,2021-06-09,0.64,0.22,1.08,0.5,0.86,12111,Fort Pierce,280379,27541,657.0,0.0239,0.0982
15662,Suwannee,2021-06-09,0.8300000000000001,0.07,1.49,0.52,1.15,12121,Live Oak,41972,5393,140.0,0.026,0.1285
16109,Volusia,2021-06-09,0.55,0.17,0.97,0.4,0.73,12127,DeLand,494804,44977,846.0,0.0188,0.0909
16466,Wakulla,2021-06-09,0.85,0.13,1.5,0.6,1.19,12129,Crawfordville,30978,3536,56.0,0.0158,0.1141
